,¿ù,½Â·ü
0,4,0.591
1,5,0.593
2,6,0.76
3,7,0.6
4,8,0.667
5,9,0.44
6,10,1.0
7,4,0.571
8,5,0.654
9,6,0.55
10,7,0.55
11,8,0.5
12,9,0.842
13,10,0.636
14,4,0.737
15,5,0.52
16,6,0.696
17,7,0.714
18,8,0.44
19,9,0.48
20,10,0.0
21,4,0.5
22,5,0.435
23,6,0.609
24,7,0.579
25,8,0.7
26,9,0.476
27,10,0.667
28,4,0.652
29,5,0.76
30,6,0.375
31,7,0.6
32,8,0.556
33,9,0.562
34,4,0.556
35,5,0.609
36,6,0.667
37,7,0.429
38,8,0.56
39,9,0.478
40,10,1.0
41,4,0.5
42,5,0.391
43,6,0.542
44,7,0.524
45,8,0.632
46,9,0.357
47,10,0.4
48,3,1.0
49,4,0.48
50,5,0.577
51,6,0.348
52,7,0.565
53,8,0.5
54,9,0.579
55,10,0.5
56,4,0.5
57,5,0.444
58,6,0.458
59,7,0.65
60,8,0.417
61,9,0.438
62,3,0.5
63,4,0.5
64,5,0.5
65,6,0.5
66,7,0.75
67,8,0.542
68,9,0.438
69,4,0.52
70,5,0.462
71,6,0.577
72,7,0.417
73,8,0.538
74,9,0.684
75,10,0.4
76,4,0.35
77,5,0.519
78,6,0.577
79,7,0.609
80,8,0.444
81,9,0.542
82,10,0.833
83,3,0.0
84,4,0.591
85,5,0.625
86,6,0.435
87,7,0.6
88,8,0.44
89,9,0.545
90,10,0.667
91,3,0.5
92,4,0.476
93,5,0.792
94,6,0.56
95,7,0.65
96,8,0.357
97,9,0.5
98,10,0.462
99,3,0.667
100,4,0.577
101,5,0.519
102,6,0.44
103,7,0.583
104,8,0.556
105,9,0.583
106,10,0.75
107,4,0.423
108,5,0.5
109,6,0.269
110,7,0.333
111,8,0.462
112,9,0.462
113,10,0.4
114,3,0.0
115,4,0.154
116,5,0.423
117,6,0.5
118,7,0.478
119,8,0.259
120,9,0.35
121,10,1.0
122,3,0.286
123,4,0.36
124,5,0.519
125,6,0.385
126,7,0.565
127,8,0.462
128,9,0.458
129,10,0.75
130,3,0.375
131,4,0.28
132,5,0.519
133,6,0.423
134,7,0.4
135,8,0.269
136,9,0.4
137,5,0.417
138,6,0.577
139,7,0.357
140,8,0.296
141,9,0.321
142,10,0.5
143,4,0.583
144,5,0.444
145,6,0.5
146,7,0.294
147,8,0.35
148,9,0.464
149,10,0.524
150,4,0.4
151,5,0.538
152,6,0.423
153,7,0.143
154,8,0.4
155,9,0.583
156,10,0.667
157,4,0.462
158,5,0.308
159,6,0.269
160,7,0.45
161,8,0.444
162,9,0.333
163,10,0.417
